ScoutId,MatchKey,Alliance,DriverStation,TeamNumber,Preloaded,AutoGrid,AutoMissed,Mobile,AutoAttemptedCharge,AutoChargingState,AutoNotes,TeleopGrid,TeleopMissed,TeleopNotes,EndgameAttemptedCharge,EndgameFinalCharge,FinalChargeTime,EndgameNotes,Disable,Tippy,DefenseTime,DefenseRating,DriverRating,RatingNotes,scanRaw,AutoCones,AutoCubes,TeleopCones,TeleopCubes,AttemptedTripleBalance,SuccessfulTripleBalance,uuid
aarav,qm86,red,1,2642,true,9H,0.0,1.0,None,,,7H|4H|3H|2H,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,4.0,,aarav||86|red|1|2642|true|1H|0|true||||3H|6H|7H|8H|0||Engage|Engage|||false|false|0|0|4|,['High'],[],"['High', 'High', 'High']",['High'],1.0,1.0,7f556ce3-606a-4434-9070-dc2621669b3c
Agneya and Adrian,qm86,red,2,4329,true,5M,0.0,1.0,Engage,Engage, | ,8M|6M|5M|5H|4M,0.0, | ,Engage,Engage,, | ,0.0,0.0,0.0,0.0,4.0, | ,Agneya|qm|86|red|2|4329|true|5M|0|true|Engage|Engage||2M|4M|5M|5H|6M|0||Engage|Engage|||false|false|0|0|4|,[],['Mid'],"['Mid', 'Mid']","['Mid', 'Mid', 'High']",1.0,1.0,f1a0b8b5-7fd9-4ed8-8eb8-81455d519b50
darren,qm86,red,3,8847,true,2Lcube,0.0,1.0,None,,,6Lcube|5Lcube|4Lcube|3Lcube|1Lcube,0.0,stopped in middle of field for a bit,Engage,Engage,,,0.0,0.0,0.0,0.0,0.0,,darren|qm|86|red|3|8847|true|8Lcube|0|true||||4Lcube|5Lcube|6Lcube|7Lcube|9Lcube|0|stopped in middle of field for a bit|Engage|Engage|||false|false|0|0|0|,[],['Low'],[],"['Low', 'Low', 'Low', 'Low', 'Low']",1.0,1.0,4b14bc80-27e9-40ac-aacd-d10969ceee61
Eckart,qm87,blue,1,1023,false,1M,0.0,1.0,None,None,Missed cube pickup,4Lcone|4M|6M|7M|8Lcube|8M|9Lcube|9M,0.0,,Engage,Engage,2.3,,0.0,0.0,0.0,0.0,5.0,,Eckart|qm|87|blue|1|1023|false|1M|0|true||None|Missed cube pickup|4Lcone|4M|6M|7M|8Lcube|8M|9Lcube|9M|0||Engage|Engage|2.3||false|false|0|0|5|,['Mid'],[],"['Low', 'Mid', 'Mid', 'Mid', 'Mid']","['Low', 'Mid', 'Low']",0.0,0.0,28fc6db6-98ef-4da7-9671-98843354ec07
paul,qm87,blue,3,2992,false,8H|9Lcone,1.0,1.0,None,,,1H|2Lcone|2H|3M|3H|4M|4H,1.0,,None,,,,0.0,0.0,0.0,0.0,3.0,,paul|qm|87|blue|3|2992|false|8H|9Lcone|1|true||||1H|2Lcone|2H|3M|3H|4M|4H|1||||||false|false|0|0|3|,['Low'],['High'],"['High', 'Low', 'Mid', 'High', 'Mid', 'High']",['High'],0.0,0.0,738a3ab2-454e-454e-8440-b897db7323aa
Joshua,qm87,blue,2,3767,false,5M,0.0,1.0,Engage,Engage,,3Lcone|5M|5H|6H|7H|9H,1.0,Claw intake major weakness to defense| but extremely good cycling rate ,Engage,Engage,5,,0.0,0.0,20.0,3.0,5.0,Very good driving skills ,Joshua|qm|87|blue|2|3767|false|5M|0|true|Engage|Engage||3Lcone|5M|5H|6H|7H|9H|1|Claw intake major weakness to defense| but extremely good cycling rate |Engage|Engage|5||false|false|20|3|5|Very good driving skills ,[],['Mid'],"['Low', 'High', 'High', 'High']","['Mid', 'High']",0.0,0.0,b733a4e3-6309-4e0f-b32e-f007d591a34a
Agneya,qm87,red,2,1746,true,2H,0.0,1.0,None,None,,9H|8Lcube|7M|7H|6H|5H|4H|3Lcube,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,5.0,,Agneya|qm|87|red|2|1746|true|8H|0|true||None||1H|2Lcube|3M|3H|4H|5H|6H|7Lcube|0||Engage|Engage|||false|false|0|0|5|,[],['High'],"['High', 'Mid', 'High', 'High', 'High']","['Low', 'High', 'Low']",1.0,1.0,28be19b7-da7b-4ea4-b4c2-354fc9b93fab
aarav,qm87,red,1,3932,false,,0.0,1.0,None,,,9H|8M|7H,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,4.0,,aarav||87|red|1|3932|false||0|true||||1H|2M|3H|0||Engage|Engage|||false|false|0|0|4|,[],[],"['High', 'High']",['Mid'],1.0,1.0,ae346eb4-5508-4d08-ba2a-3e692d87674e
darren,qm87,red,3,7072,true,8M,0.0,1.0,None,,,8Lcube|6Lcube|4Lcube,1.0,missed low cube cuz cube bounced out,Engage,Engage,,,0.0,0.0,0.0,0.0,2.0,,darren|qm|87|red|3|7072|true|2M|0|true||||2Lcube|4Lcube|6Lcube|1|missed low cube cuz cube bounced out|Engage|Engage|||false|false|0|0|2|,[],['Mid'],[],"['Low', 'Low', 'Low']",1.0,1.0,3fa7082b-ac49-4177-b8aa-c047520b7fee
Eckart,qm88,blue,1,5804,false,4H,0.0,1.0,Engage,Engage,,3Lcube|4H|5Lcube|7H|8Lcube|9Lcube|9M|9H,0.0,Did not secure the last link for RP even though could have,None,Park,,,0.0,0.0,0.0,0.0,4.0,,Eckart|qm|88|blue|1|5804|false|4H|0|true|Engage|Engage||3Lcube|4H|5Lcube|7H|8Lcube|9Lcube|9M|9H|0|Did not secure the last link for RP even though could have||Park|||false|false|0|0|4|,['High'],[],"['High', 'High', 'Mid', 'High']","['Low', 'Low', 'Low', 'Low']",0.0,0.0,9b2ca989-7266-425d-9b2f-3718e0edaced
