,ScoutId,MatchKey,Alliance,DriverStation,TeamNumber,Preloaded,AutoGrid,AutoMissed,Mobile,AutoAttemptedCharge,AutoChargingState,AutoNotes,TeleopGrid,TeleopMissed,TeleopNotes,EndgameAttemptedCharge,EndgameFinalCharge,FinalChargeTime,EndgameNotes,Disable,Tippy,DefenseTime,DefenseRating,DriverRating,RatingNotes
435,Joshua,qm89,blue,2,5553,true,2H,0.0,1.0,None,,Starts way inside robot for auto| when it could have started in their gripper| not sure why they did that as it wasted 5 seconds at the start,1H|2M,0.0,Disabled after a heavy ram| swiveling arm makes it easier to use robot but it is vulnerable to rams,None,,,,1.0,0.0,0.0,0.0,2.0,Takes way too long to score with swivel claw
436,Eckart,qm89,blue,1,7285,true,7M|8M,0.0,1.0,None,None,Missed cube pickup,4M|6M|6H|7H|8Lcone|9Lcone|9M|9H,0.0,,Engage,None,,Got stuck on the side of charging station,0.0,0.0,0.0,0.0,5.0,
437,darren,qm89,red,3,1501,true,2M|1H,0.0,1.0,None,,,9Lcone|9M|8M|7M|7H,0.0,intake from single sub,Engage,Engage,,,0.0,0.0,0.0,0.0,0.0,
438,Agneya,qm89,red,2,3003,true,4H|3Lcone,0.0,1.0,None,None,,5M|5H|2H,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,4.0,
439,aarav,qm89,red,1,5006,false,,0.0,1.0,None,,,5H|4H|3H,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,4.0,
440,Shashwat,qm9,blue,2,1836,false,1Lcube,1.0,1.0,None,None,,2Lcube|3Lcube|4Lcube|5Lcube|6Lcube|7Lcube|8Lcube,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,3.0,
441,Nikhil,qm9,blue,1,4522,true,8Lcube|9Lcone,2.0,1.0,None,,,1H|3H|4M|4H|6H|7H,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,3.0,
442,sarah,qm9,blue,3,5135,true,5H,0.0,1.0,Engage,Engage,,1Lcube|2M|2H|5M|8Lcube|8M|8H,2.0,,Engage,Engage,8,,0.0,0.0,0.0,0.0,0.0,
443,Sydney,qm9,red,1,1746,true,2H,0.0,1.0,None,None,,5M|4H|3H|2Lcube|2M|1Lcube|1M|1H,0.0,,Engage,Engage,5,,0.0,0.0,0.0,0.0,4.0,
444,alexander,qm9,red,3,3039,true,9H|8H,0.0,1.0,None,None,,9Lcone|9M|9H|9H|8Lcube|8M|7Lcube|7M|7H|6Lcube|6H|4Lcone,0.0,,None,None,,,0.0,0.0,0.0,0.0,4.0,
